Read Details,Đọc chi tiết,module,Magento_AdminNotification
Mark as Read,Đánh dấu đã đọc,module,Magento_AdminNotification
Are you sure?,Bạn có chắc không?,module,Magento_AdminNotification
Remove,Hủy bỏ,module,Magento_AdminNotification
Messages Inbox,Hộp thư,module,Magento_AdminNotification
You have %1 new system messages,Bạn có %1 tronh hộp thư,module,Magento_AdminNotification
You have %1 new system message,Bạn có %1 hộp thư,module,Magento_AdminNotification
Incoming Message,Thư đến,module,Magento_AdminNotification
The message has been marked as Read.,Thư được đánh dấu đã đọc.,module,Magento_AdminNotification
Please select messages.,Vui lòng chọn thư.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,Tổng cộng có %1 bản ghi (s) đã được xóa.,module,Magento_AdminNotification
The message has been removed.,Thư đã được xóa.,module,Magento_AdminNotification
Wrong message type,Sai loại tin nhắn,module,Magento_AdminNotification
Wrong notification ID specified.,Sai thông báo ID.,module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Một hoặc nhiều Cache Types không đúng: %1. ,module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,Chúng tôi không thể đồng bộ hóa một hoặc nhiều tệp phương tiện. Vui lòng tham khảo tệp log để biết thêm chi tiết.,module,Magento_AdminNotification
Synchronization of media storages has been completed.,Đồng bộ hóa bộ nhớ phương tiện đã hoàn tất.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Máy chủ web của bạn bị thiết lập không đúng và cho phép truy cập trái phép vào những tệp nhạy cảm.,module,Magento_AdminNotification
System Messages:,Hệ thống tin nhắn:,module,Magento_AdminNotification
Critical System Messages,Hệ thống tin nhắn quan trọng,module,Magento_AdminNotification
Major System Messages,Hệ thống tin nhắn chính,module,Magento_AdminNotification
System messages,Hệ thống tin nhắn,module,Magento_AdminNotification
Please correct the data sent.,Xin vui lòng làm đúng các dữ liệu được gửi.,module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,Không tìm thấy mô hình thực thể loại '%1' .,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Loại thực thể mẫu phải là ví dụ của \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,Không có sẵn loại sản phẩm để xuất khẩu,module,Magento_AdvancedPricingImportExport
Related Search Terms,Cụm từ tìm kiếm có liên quan,module,Magento_AdvancedSearch
Add New Search Term,Thêm cụm từ tìm kiếm mới,module,Magento_AdvancedSearch
Successful! Test again?,Thành công! Kiểm tra một lần nữa?,module,Magento_AdvancedSearch
Subscription status,Tình trạng đăng ký,module,Magento_Analytics
"Sorry, there has been an error processing your request. Please try again later.","Xin lỗi, đã có một lỗi xử lý yêu cầu của bạn. Xin vui lòng thử lại sau.",module,Magento_Analytics
There was an error save new configuration value.,Đã có lỗi khi lưu giá trị cấu hình mới.,module,Magento_Analytics
--Please Select--,--Vui lòng chọn--,module,Magento_Analytics
Command was not found.,Lệnh không được tìm thấy.,module,Magento_Analytics
Cannot find predefined integration user!,Không thể tìm thấy người dùng tích hợp được xác định trước!,module,Magento_Analytics
